UserId,Session,ContentIndex,FocusScalingFactor,ContextScalingFactor,Score
601,1,2,1,0.4,1
601,1,3,0.8,0.4,1
601,1,3,0.6,0.4,1
601,1,2,1,0.6,1
601,1,2,1,1,1
601,1,3,0.4,0.2,0.7997142
601,1,2,1,0.8,0.7997142
601,1,3,0.8,0.6,0.6301841
602,1,2,1,0.4,0.9260722
602,1,3,0.8,0.4,0.9260722
602,1,2,1,1,0.9260722
602,1,3,0.8,0.6,0.9260722
602,1,2,1,0.6,0.4729564
602,1,3,0.4,0.2,0.3824482
602,1,3,0.6,0.4,0.5972598
602,1,2,1,0.8,0.4338916
603,1,2,1,0.4,0.9439292
603,1,3,0.4,0.2,0.8413884
603,1,3,0.8,0.4,0.8016052
603,1,2,1,1,0.7673983
603,1,3,0.6,0.4,0.7072774
603,1,3,0.8,0.6,0.6922219
603,1,2,1,0.8,0.6738483
603,1,2,1,0.6,0.661248
604,1,3,0.6,0.4,1
604,1,2,1,1,0.7251245
604,1,3,0.8,0.4,0.592818
604,1,3,0.4,0.2,0.432458
604,1,3,0.8,0.6,0.432458
604,1,2,1,0.4,0.2604448
604,1,2,1,0.6,0.2604448
604,1,2,1,0.8,0.2604448
605,1,2,1,0.8,0.7618688
605,1,3,0.8,0.6,0.6108801
605,1,3,0.4,0.2,0.7640589
605,1,2,1,0.6,0.6322567
605,1,3,0.8,0.4,0.9372344
605,1,2,1,0.4,0.760094
605,1,3,0.6,0.4,0.6163923
605,1,2,1,1,0.6163923
606,1,2,1,0.6,0.5472151
606,1,2,1,0.8,0.7626905
606,1,2,1,0.4,0.7626905
606,1,3,0.8,0.4,0.7626905
606,1,3,0.8,0.6,0.7626905
606,1,3,0.6,0.4,0.7626905
606,1,3,0.4,0.2,0.7626905
606,1,2,1,1,0.7626905
607,1,2,1,0.4,0.5632298
607,1,2,1,0.8,0.4347542
607,1,2,1,0.6,0.4707279
607,1,3,0.8,0.4,0.3401075
607,1,3,0.8,0.6,0.3401075
607,1,3,0.6,0.4,0.2206597
607,1,2,1,1,0.2206597
607,1,3,0.4,0.2,0.1025462
608,1,3,0.8,0.6,0.4414739
608,1,3,0.4,0.2,0.2623537
608,1,2,1,0.4,0.7551713
608,1,3,0.6,0.4,0.9199012
608,1,2,1,0.6,1
608,1,2,1,1,1
608,1,2,1,0.8,0.8842417
608,1,3,0.8,0.4,0.8842417
609,1,3,0.4,0.2,0.2823421
609,1,2,1,1,0.6781998
609,1,2,1,0.6,0.6781998
609,1,2,1,0.8,0.438428
609,1,2,1,0.4,0.4950223
609,1,3,0.8,0.4,0.6199605
609,1,3,0.6,0.4,0.3350908
609,1,3,0.8,0.6,0.2647994
610,1,2,1,0.6,0.6174345
610,1,3,0.8,0.4,0.6933451
610,1,3,0.4,0.2,0.4752101
610,1,2,1,0.4,0.7630066
610,1,3,0.6,0.4,0.8208971
610,1,2,1,0.8,0.8371064
610,1,3,0.8,0.6,0.8898765
610,1,2,1,1,0.9315737
611,1,2,1,0.6,0.7571812
611,1,3,0.6,0.4,0.6773687
611,1,3,0.8,0.4,0.6773687
611,1,2,1,0.8,0.6773687
611,1,3,0.8,0.6,0.4961804
611,1,2,1,0.4,0.3605358
611,1,2,1,1,0.3605358
611,1,3,0.4,0.2,0.1284293
612,1,3,0.8,0.6,0.4910992
612,1,2,1,0.4,0.8015852
612,1,2,1,1,0.5554118
612,1,3,0.8,0.4,0.2394447
612,1,3,0.6,0.4,0.5253823
612,1,3,0.4,0.2,0.7811252
612,1,2,1,0.8,0.5133201
612,1,2,1,0.6,0.7762849
613,1,3,0.8,0.6,1
613,1,2,1,0.6,0.5071082
613,1,2,1,1,0.5071082
613,1,2,1,0.8,0.5071082
613,1,2,1,0.4,0.5071082
613,1,3,0.8,0.4,0.5071082
613,1,3,0.6,0.4,0.5071082
613,1,3,0.4,0.2,0.9433562
614,1,3,0.6,0.4,0.7684748
614,1,2,1,0.8,0.4864678
614,1,2,1,0.6,0.4864678
614,1,2,1,1,0.4864678
614,1,3,0.8,0.6,0.4864678
614,1,2,1,0.4,0.4864678
614,1,3,0.4,0.2,0.4864678
614,1,3,0.8,0.4,0.4864678
